fname,chisqr,gain,gain_simple,pv_r,sigma,pe_res
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_950v.xml,0.00149773794267443,"(2136130.518658494, 166581.57333690632)","(0,0)","(0.9988435580831123, 0.029260641486684565)","(2.506431650672012, 0.3401807526037656)","(17.50082756751863, 3.4371411791298887)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1000v.xml,0.00163169497298676,"(3793222.8298280467, 228879.94652988279)","(0,0)","(1.3125954033460034, 0.6038251043529375)","(2.5262322608007226, 0.5556186290473464)","(24.24172031666919, 11.937830324527551)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1050v.xml,0.000179051526428269,"(5426816.446769364, 92099.58940695752)","(0,0)","(1.7880383175996588, 0.21833283141372778)","(4.298746461657555, 0.24360966384167634)","(32.21832464545386, 3.777375049151146)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1100v.xml,5.63138819612793E-05,"(7901118.5182401575, 130677.18008844374)","(0,0)","(2.8010651463737397, 0.32420027643903543)","(5.661369127323726, 0.2486320497439927)","(39.87827722993266, 2.683114645771493)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1150v.xml,6.02861632727934E-05,"(11128679.81974849, 192847.7785200009)","(0,0)","(3.4458398355848168, 0.3879971276099497)","(7.498657876431907, 0.364204113940435)","(52.64420572817068, 3.9984792307821486)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1200v.xml,0.000705445923639681,"(15410820.40970035, 1195325.6359399215)","(0,0)","(3.7022966609648336, 1.0662886785737273)","(9.522812537033694, 2.2550691876954025)","(69.25170734974147, 25.883277138745168)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1250v.xml,0.000939952673817243,"(20729809.214236945, 3805544.8960148054)","(0,0)","(3.2802710512466176, 1.2044945617187726)","(13.388803436884992, 7.026309238013559)","(91.0770829731601, 75.31967237666518)"
../../from_Alex/pmt_measurements/2023-08-15_wterm/nnvt_PN2209-4010_1300v.xml,0.00139903583765562,"(27900452.461087845, 7532378.360130037)","(0,0)","(3.4294903904110403, 1.6197616668198485)","(17.315922047329266, 14.845675349282194)","(113.00507004106913, 159.30782552853867)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_900.xml,0.00163934806509749,"(1341847.1989511969, 597922.6369851623)","(0,0)","(0.9982648840587948, 0.05011145604798738)","(2.3632238910044907, 0.5454366225145916)","(13.623274436285413, 5.505188750371551)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_950.xml,0.000350327930137321,"(2628950.887748706, 46312.1430413015)","(0,0)","(0.9996531216040504, 0.028891686875859048)","(2.7530324311833447, 0.12069372379683228)","(17.76386009982407, 1.2224717403184207)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1000.xml,0.000460865531077567,"(4188441.4269670923, 79628.56509482682)","(0,0)","(1.4631082498490409, 0.13306588567672553)","(3.1433328615670826, 0.11653100533364663)","(22.62334912105212, 1.39841171787903)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1050.xml,0.000221949977661198,"(6068805.464784712, 93539.54877430442)","(0,0)","(2.5984707919786794, 0.31729104458379787)","(3.985978891425515, 0.1776701218037267)","(29.11085387801069, 2.001185098133427)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1100.xml,9.84406505169502E-05,"(8479774.117556088, 94849.9765971648)","(0,0)","(3.6316247129632035, 0.3416018544384197)","(5.5011055765993415, 0.18971852567851852)","(39.906929262468594, 2.1323890783637443)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1150.xml,0.000146453352362526,"(11809761.548750104, 129508.22720646935)","(0,0)","(4.324250340882241, 0.3391777930916404)","(7.369153775285584, 0.2583606241081318)","(55.226951262699465, 3.0415368426505807)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1200.xml,0.000146893911701421,"(16265793.109564196, 553969.8326608252)","(0,0)","(4.017557489277109, 0.6973131725853197)","(9.22015863765041, 1.2643594578188668)","(72.75559301254235, 16.835780742891036)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1250.xml,0.000693912848828156,"(22153134.064779196, 1791928.8645325638)","(0,0)","(3.904094731089878, 1.6421374797260748)","(11.708698222158787, 8.831537229485116)","(100.93746984975415, 138.53300252724654)"
../../from_Alex/pmt_measurements/2023-09-05_wterm/nnvt_PN2209-4017_1300.xml,0.00204107450174738,"(29376224.607627314, 3230416.751651671)","(0,0)","(4.01055377868715, 2.0394037853575977)","(15.19264952277012, 15.198002227941988)","(128.30306717716445, 228.55730183531597)"
